country,date,time,home_team,away_team,complementary_set,arbitrage_percentage,profit_margin,sources,home_win_odds,home_win_source,draw_odds,draw_source,away_win_odds,away_win_source,12_odds,12_source,1X_odds,1X_source,1_odds,1_source,2_odds,2_source,X2_odds,X2_source,away_handicap_-0.5_odds,away_handicap_-0.5_source,away_handicap_-1.0_odds,away_handicap_-1.0_source,away_handicap_0.0_odds,away_handicap_0.0_source,away_handicap_0.5_odds,away_handicap_0.5_source,away_handicap_2.0_odds,away_handicap_2.0_source,both_noscore_odds,both_noscore_source,both_score_odds,both_score_source,home_handicap_-0.5_odds,home_handicap_-0.5_source,home_handicap_-2.0_odds,home_handicap_-2.0_source,home_handicap_0.0_odds,home_handicap_0.0_source,home_handicap_0.5_odds,home_handicap_0.5_source,home_handicap_1.0_odds,home_handicap_1.0_source,over_4.5_odds,over_4.5_source,under_4.5_odds,under_4.5_source
France,17/08/2025,16:00,Angers SCO,Paris Saint-Germain,ah_1.0_home_vs_away,0.6198,38.02,"1xbet, Asbet, Clubx2",,,,,,,,,,,,,,,,,,,4.55,1xbet,,,,,,,,,,,,,,,,,,,2.5,Asbet,,,,
UEFA Conference League,10/07/2025,19:45,Saint Patrick´s Athletic FC,FC Hegelmann Litauen Kaunas,ah_-0.5_home_vs_away,0.9313,6.87,"1xbet, Asbet, Clubx2, Tounesbet",,,,,,,,,,,,,,,,,,,,,,,2.255,Tounesbet,,,,,,,2.05,Clubx2,,,,,,,,,,,,
USA,13/07/2025,00:30,Miami FC,Lexington SC,both_score,0.9329,6.71,"1xbet, Clubx2, Tounesbet",,,,,,,,,,,,,,,,,,,,,,,,,,,2.293,1xbet,2.013,Tounesbet,,,,,,,,,,,,,,
Venezuela,10/07/2025,00:30,Dinamo Puerto La Cruz,Aragua FC,ah_-0.5_home_vs_away,0.9353,6.47,"1xbet, Asbet, Clubx2, Tounesbet",,,,,,,,,,,,,,,,,,,,,,,2.08,Asbet,,,,,,,2.2,Tounesbet,,,,,,,,,,,,
UEFA Conference League,10/07/2025,19:45,NSI Runavik,HJK Helsinki,three_way,0.9356,6.44,"1xbet, Asbet, Clubx2, Tounesbet",4.2,Clubx2,4.565,Tounesbet,2.09,Tounesbet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,13/07/2025,02:00,San Antonio FC,Tampa Bay Rowdies,ah_-0.5_home_vs_away,0.9377,6.23,"Clubx2, Tounesbet",,,,,,,,,,,,,,,,,,,,,,,2.167,Tounesbet,,,,,,,2.1,Clubx2,,,,,,,,,,,,
USA,13/07/2025,02:00,San Antonio Texas,Tampa Bay Rowdies,ah_-0.5_home_vs_away,0.9377,6.23,"1xbet, Clubx2, Tounesbet",,,,,,,,,,,,,,,,,,,,,,,2.167,Tounesbet,,,,,,,2.1,Clubx2,,,,,,,,,,,,
Kazakhstan,13/07/2025,16:00,FC Ordabasy,Fc astana,three_way,0.9437,5.63,"1xbet, Clubx2, Tounesbet",4.158,Tounesbet,3.641,Tounesbet,2.3334,Clubx2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,10/07/2025,01:30,Marin FC Legends,San Francisco Glens SC,ah_0.5_home_vs_away,0.9456,5.44,"1xbet, Asbet, Clubx2, Tounesbet",,,,,,,,,,,,,,,,,1.98,Tounesbet,,,,,,,,,,,,,,,,,,,2.27,Asbet,,,,,,
Scotland,11/07/2025,19:45,Edinburgh City FC,Partick Thistle FC,ah_0.5_home_vs_away,0.9514,4.86,"1xbet, Asbet, Clubx2, Tounesbet",,,,,,,,,,,,,,,,,1.87,Tounesbet,,,,,,,,,,,,,,,,,,,2.4,Asbet,,,,,,
USA,13/07/2025,00:00,Indy Eleven,Rhode Island FC,ah_-0.5_home_vs_away,0.957,4.3,"Clubx2, Tounesbet",,,,,,,,,,,,,,,,,,,,,,,1.925,Tounesbet,,,,,,,2.2858,Clubx2,,,,,,,,,,,,
AFC Asian Cup,10/07/2025,14:00,Singapore (Women),Iran (Women),under_4.5_vs_over_4.5,0.9635,3.65,"1xbet, Asbet, Tounesbet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35,Asbet,1.859,Tounesbet
Brazil,13/07/2025,00:30,Clube Atletico Paranaense,Goias Esporte Clube,three_way,0.9636,3.64,"1xbet, Asbet, Clubx2, Tounesbet",1.991,Tounesbet,3.652,Tounesbet,5.3334,Clubx2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UEFA Conference League,10/07/2025,19:00,KF Vllaznia Shkoder,BFC Daugavpils,ah_-0.5_home_vs_away,0.9651,3.49,"1xbet, Asbet, Clubx2, Tounesbet",,,,,,,,,,,,,,,,,,,,,,,2.59,Asbet,,,,,,,1.727,Tounesbet,,,,,,,,,,,,
UEFA Europa League,10/07/2025,19:15,FC Spartak Trnava,BK Hacken,ah_-0.5_home_vs_away,0.9651,3.49,"1xbet, Asbet, Clubx2, Tounesbet",,,,,,,,,,,,,,,,,,,,,,,1.727,Tounesbet,,,,,,,2.59,Asbet,,,,,,,,,,,,
Europe,10/07/2025,17:00,SJK Seinäjoki,KI Klaksvik,ah_-0.5_home_vs_away,0.9655,3.45,"Asbet, Clubx2, Tounesbet",,,,,,,,,,,,,,,,,,,,,,,1.9,Clubx2,,,,,,,2.277,Tounesbet,,,,,,,,,,,,
Nicaragua,10/07/2025,01:00,Real Esteli FC,CD Walter Ferretti,x_vs_12,0.9715,2.85,"1xbet, Asbet, Tounesbet",,,4.675,Tounesbet,,,1.32,Asbet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Club Friendlies,10/07/2025,15:00,FC  Dynamo Kiev,FC Midtjylland,three_way,0.9722,2.78,"1xbet, Asbet, Clubx2, Tounesbet",2.453,Tounesbet,4.0,Clubx2,3.179,Tounesbet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UEFA Europa League,10/07/2025,17:00,Sabah Baku,NK CM Celje,ah_-0.5_home_vs_away,0.9734,2.66,"1xbet, Asbet, Clubx2, Tounesbet",,,,,,,,,,,,,,,,,,,,,,,1.64,Asbet,,,,,,,2.75,Tounesbet,,,,,,,,,,,,
Scotland,12/07/2025,15:00,Brechin City,Falkirk,one_vs_x2,0.9753,2.47,"1xbet, Clubx2, Tounesbet",,,,,,,,,,,29.7,Tounesbet,,,1.062,1xbet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,12/07/2025,15:00,Brechin City FC,Falkirk FC,one_vs_x2,0.9753,2.47,"1xbet, Asbet, Clubx2, Tounesbet",,,,,,,,,,,29.7,Tounesbet,,,1.062,1xbet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,10/07/2025,17:00,CA Juventud de Loma Pyta,Pastoreo FC,one_vs_x2,0.978,2.2,"1xbet, Asbet, Clubx2, Tounesbet",,,,,,,,,,,14.52,Tounesbet,,,1.1,Asbet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,10/07/2025,23:00,Club Bolivar,CA Nacional Potosi,ah_-2.0_home_vs_away,0.9794,2.06,"1xbet, Asbet, Clubx2, Tounesbet",,,,,,,,,,,,,,,,,,,,,,,,,1.705,Tounesbet,,,,,,,2.5455,Clubx2,,,,,,,,,,
Europe,10/07/2025,19:15,Spartak Trnava,BK Hacken,ah_0.5_home_vs_away,0.9856,1.44,"Clubx2, Tounesbet",,,,,,,,,,,,,,,,,3.135,Tounesbet,,,,,,,,,,,,,,,,,,,1.5,Clubx2,,,,,,
Scotland,12/07/2025,15:00,Stranraer FC,Ross County FC,ah_0.5_home_vs_away,0.988,1.2,"1xbet, Asbet, Clubx2, Tounesbet",,,,,,,,,,,,,,,,,1.3,Tounesbet,,,,,,,,,,,,,,,,,,,4.57,Asbet,,,,,,
India,10/07/2025,10:30,Aryans Sports,HFS Southern Samity,three_way,0.9905,0.95,"1xbet, Asbet, Tounesbet",3.41,Tounesbet,3.67,Asbet,2.354,Tounesbet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,10/07/2025,15:30,Widzew Lodz,MKS Miedz Legnica,ah_1.0_home_vs_away,0.9915,0.85,"Asbet, Tounesbet",,,,,,,,,,,,,,,,,,,3.542,Tounesbet,,,,,,,,,,,,,,,,,,,1.41,Asbet,,,,
India,10/07/2025,10:30,Kidderpore SC,United Kolkata SC,ah_0.0_home_vs_away,0.9927,0.73,"1xbet, Asbet, Tounesbet",,,,,,,,,,,,,,,,,,,,,1.28,Asbet,,,,,,,,,,,,,4.73,Tounesbet,,,,,,,,
USA,14/07/2025,00:00,Inter Miami CF II,Crown Legacy FC,three_way,0.9933,0.67,"Asbet, Clubx2, Tounesbet",2.365,Tounesbet,4.3,Asbet,2.959,Tounesbet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Club Friendlies,10/07/2025,16:30,FK DAC 1904 Dunajska Streda,PFC Olexandria,three_way,0.9935,0.65,"1xbet, Tounesbet",2.65,1xbet,3.96,Tounesbet,2.75,Tounesbet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,11/07/2025,01:30,Jorge Wilstermann,Blooming,three_way,0.9936,0.64,"Clubx2, Tounesbet",3.564,Tounesbet,3.4,Clubx2,2.387,Tounesbet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,13/07/2025,19:00,Chicago Fire FC II,New England Revolution II,both_score,0.9949,0.51,"1xbet, Asbet, Clubx2, Tounesbet",,,,,,,,,,,,,,,,,,,,,,,,,,,3.047,Tounesbet,1.5,Clubx2,,,,,,,,,,,,,,
Club Friendlies,10/07/2025,15:00,TSV Hartberg,FK Crvena Zvezda,both_score,0.995,0.5,"1xbet, Asbet, Tounesbet",,,,,,,,,,,,,,,,,,,,,,,,,,,2.893,Tounesbet,1.54,Asbet,,,,,,,,,,,,,,
Iceland,10/07/2025,20:15,Augnablik Kopavogur,Arbair,two_vs_1x,0.9951,0.49,"1xbet, Asbet, Clubx2, Tounesbet",,,,,,,,,1.062,1xbet,,,18.7,Tounesbet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,11/07/2025,22:45,Queretaro (Women),Santos Laguna (Women),three_way,0.9953,0.47,"1xbet, Clubx2, Tounesbet",1.716,Tounesbet,4.2,Clubx2,5.731,Tounesbet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,12/07/2025,16:00,Krasnodar FC,CSKA Moscow,two_vs_1x,0.996,0.4,"1xbet, Asbet, Clubx2, Tounesbet",,,,,,,,,1.441,1xbet,,,3.311,Tounesbet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Cup of Nations,11/07/2025,20:00,Tanzania (Women),South Africa (Women),one_vs_x2,0.9961,0.39,"1xbet, Asbet, Clubx2",,,,,,,,,,,9.0,Clubx2,,,1.13,Asbet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,11/07/2025,01:00,9 de Octubre FC,CD Vargas Torres,three_way,0.9974,0.26,"1xbet, Asbet, Clubx2, Tounesbet",1.749,Tounesbet,3.6,Clubx2,6.765,Tounesbet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
